"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"208","2024","Hombre","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"209","2024","Hombre","IE Braulio Gonzalez","Natación","Deportista","Yopal","Casanare"
"210","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"211","2024","Hombre","Colegio Alianza Pedagogica","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"212","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"213","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"214","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"215","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"216","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"217","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol Sala","Deportista","Yopal","Casanare"
"218","2024","Hombre","Inst Autonomo Shakespeare Y Cervantes","Fútbol de Salón","Deportista","Yopal","Casanare"
"219","2024","Mujer","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"220","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"221","2024","Mujer","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"222","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"223","2024","Mujer","Instituto Tecnico Empresarial","Judo","Deportista","Yopal","Casanare"
"224","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"225","2024","Mujer","IE Divino Salvador","Fútbol de Salón","Deportista","Yopal","Casanare"
"226","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"227","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"228","2024","Mujer","IE Policarpa Salavarrieta","Fútbol de Salón","Deportista","Yopal","Casanare"
"229","2024","Mujer","Gimnasio Comfacasanare","Voleibol","Deportista","Yopal","Casanare"
"230","2024","Mujer","IE Luis Carlos Galan SarmIEnto","Tejo","Deportista","Yopal","Casanare"
"231","2024","Mujer","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"232","2024","Mujer","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"233","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"234","2024","Mujer","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"235","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"236","2024","Mujer","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"237","2024","Mujer","IE Divino Salvador","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"238","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"239","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Atletismo","Deportista","Yopal","Casanare"
"240","2024","Mujer","Liceo de la Sabana","Ajedrez Integrado","Deportista","Yopal","Casanare"
"241","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"242","2024","Mujer","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"243","2024","Mujer","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
